TossWinner,TossDecision,BattingTeam,BowlingTeam,batter,non_striker,bowler,First_Innings_total_score,Venue,Overs,current_score,wickets_left,current_run_rate,required_run_rate,Second_Innings_Total_score
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",5.1,0,10,0.0,7.280898876404494,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",5.2,0,10,0.0,7.363636363636363,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",5.3,1,10,0.18181818181818182,7.379310344827586,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",5.4,1,10,0.17647058823529413,7.465116279069767,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",5.5,2,10,0.34285714285714286,7.482352941176471,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",5.6,6,10,1.0,7.285714285714286,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,OC McCoy,130,"Narendra Modi Stadium, Ahmedabad",6.1,6,10,0.972972972972973,7.373493975903615,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,OC McCoy,130,"Narendra Modi Stadium, Ahmedabad",6.2,7,10,1.105263157894737,7.390243902439025,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,OC McCoy,130,"Narendra Modi Stadium, Ahmedabad",6.3,7,10,1.0769230769230769,7.481481481481482,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,OC McCoy,130,"Narendra Modi Stadium, Ahmedabad",6.4,8,10,1.2,7.5,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,OC McCoy,130,"Narendra Modi Stadium, Ahmedabad",6.5,9,10,1.3170731707317074,7.518987341772152,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,OC McCoy,130,"Narendra Modi Stadium, Ahmedabad",6.6,10,10,1.4285714285714286,7.538461538461538,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",7.1,10,10,1.3953488372093024,7.636363636363637,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",7.2,10,10,1.3636363636363635,7.7368421052631575,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",7.3,11,10,1.4666666666666666,7.76,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",7.4,12,10,1.565217391304348,7.783783783783784,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",7.5,13,10,1.6595744680851063,7.808219178082192,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",7.6,13,10,1.625,7.916666666666667,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,M Prasidh Krishna,130,"Narendra Modi Stadium, Ahmedabad",8.1,14,10,1.7142857142857142,7.943661971830986,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,M Prasidh Krishna,130,"Narendra Modi Stadium, Ahmedabad",8.2,14,10,1.68,8.057142857142857,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,M Prasidh Krishna,130,"Narendra Modi Stadium, Ahmedabad",8.3,18,10,2.1176470588235294,7.826086956521739,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,M Prasidh Krishna,130,"Narendra Modi Stadium, Ahmedabad",8.4,18,10,2.076923076923077,7.9411764705882355,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,M Prasidh Krishna,130,"Narendra Modi Stadium, Ahmedabad",8.5,19,10,2.150943396226415,7.970149253731344,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Shubman Gill,HH Pandya,M Prasidh Krishna,130,"Narendra Modi Stadium, Ahmedabad",8.6,23,10,2.5555555555555554,7.7272727272727275,133
Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,HH Pandya,Shubman Gill,YS Chahal,130,"Narendra Modi Stadium, Ahmedabad",9.1,24,10,2.618181818181818,7.753846153846154,133
