iter	RMSE
0	26.57471504
1	25.50421483
2	24.45278719
3	23.39398254
4	22.44322828
5	21.54082905
6	20.70020116
7	19.94864615
8	19.22352567
9	18.56748382
10	17.88218444
11	17.26133073
12	16.66033395
13	16.15037588
14	15.66096316
15	15.23803659
16	14.81825598
17	14.42169632
18	14.03117609
19	13.64271435
20	13.264096
21	12.94613855
22	12.64545023
23	12.33494778
24	12.04984852
25	11.78603836
26	11.51630211
27	11.31216795
28	11.10145007
29	10.90732599
30	10.68847917
31	10.45706858
32	10.25580393
33	10.05558002
34	9.848994964
35	9.681122334
36	9.490593833
37	9.349497064
38	9.201673958
39	9.031926589
40	8.88178184
41	8.713912572
42	8.563414143
43	8.437337398
44	8.325013227
45	8.201834488
46	8.078234446
47	7.941556625
48	7.828458475
49	7.719825122
50	7.631922851
51	7.534200647
52	7.447981941
53	7.339588052
54	7.229951149
55	7.150224647
56	7.061876521
57	6.960942485
58	6.89129791
59	6.804288736
60	6.742747498
61	6.674726406
62	6.606490171
63	6.531997457
64	6.461177076
65	6.393014196
66	6.336955021
67	6.256308306
68	6.170640276
69	6.085317452
70	6.011293722
71	5.951427175
72	5.901822158
73	5.837545493
74	5.784590702
75	5.726786781
76	5.658062693
77	5.593947019
78	5.538885463
79	5.491750502
80	5.446422227
81	5.40153849
82	5.343411253
83	5.282629418
84	5.235708329
85	5.180081015
86	5.127165505
87	5.068794299
88	5.025755848
89	4.980085955
90	4.926378049
91	4.882302853
92	4.839130397
93	4.80026078
94	4.759407904
95	4.719921091
96	4.685506813
97	4.64622119
98	4.597218915
99	4.560066775
100	4.523204274
101	4.478017376
102	4.441393635
103	4.405179463
104	4.369187325
105	4.338648598
106	4.299395384
107	4.277752883
108	4.240710927
109	4.209999433
110	4.172997459
111	4.137916712
112	4.103218285
113	4.075940177
114	4.049670521
115	4.025943859
116	3.994607838
117	3.966145268
118	3.947242646
119	3.911667767
120	3.882908008
121	3.853805665
122	3.833782145
123	3.806357618
124	3.781611783
125	3.753872224
126	3.720347774
127	3.69851572
128	3.675657289
129	3.648051704
130	3.626353168
131	3.600850992
132	3.575262984
