iter	Passed	Remaining
0	44	44016
1	66	33042
2	83	27712
3	98	24538
4	114	22804
5	129	21515
6	145	20585
7	160	19957
8	175	19310
9	274	27202
10	329	29669
11	409	33722
12	477	36278
13	503	35474
14	543	35713
15	568	34989
16	608	35186
17	635	34687
18	654	33814
19	669	32822
20	690	32189
21	707	31472
22	726	30873
23	747	30388
24	785	30634
25	832	31203
26	854	30792
27	902	31344
28	956	32025
29	992	32075
30	1024	32009
31	1060	32082
32	1080	31658
33	1116	31732
34	1136	31346
35	1159	31050
36	1179	30687
37	1208	30581
38	1229	30283
39	1277	30649
40	1298	30360
41	1314	29984
42	1331	29624
43	1348	29288
44	1372	29116
45	1399	29018
46	1427	28948
47	1447	28707
48	1464	28422
49	1481	28141
50	1508	28069
51	1534	27973
52	1564	27955
53	1644	28815
54	1689	29021
55	1762	29718
56	1824	30189
57	1878	30516
58	1930	30784
59	1983	31070
60	1999	30779
61	2018	30535
62	2034	30260
63	2047	29938
64	2060	29646
65	2074	29362
66	2089	29103
67	2107	28886
68	2125	28674
69	2143	28475
70	2161	28286
71	2176	28047
72	2190	27818
73	2208	27638
74	2231	27517
75	2253	27393
76	2276	27289
77	2296	27143
78	2319	27039
79	2343	26952
80	2370	26891
81	2388	26742
82	2412	26654
83	2429	26492
84	2445	26324
85	2465	26203
86	2485	26086
87	2506	25973
88	2526	25863
89	2547	25754
90	2578	25756
91	2597	25631
92	2612	25476
93	2627	25326
94	2642	25176
95	2657	25025
96	2678	24939
97	2694	24797
98	2710	24668
99	2726	24538
100	2742	24408
101	2768	24373
102	2786	24266
103	2801	24131
104	2815	23996
105	2827	23843
106	2842	23720
107	2857	23602
108	2873	23486
109	2887	23364
110	2902	23249
111	2919	23151
112	2940	23079
113	2955	22972
114	2968	22841
115	2981	22722
116	2995	22610
117	3009	22492
118	3028	22417
119	3041	22304
120	3055	22193
121	3072	22109
122	3084	21994
123	3101	21912
124	3116	21816
125	3131	21722
126	3154	21683
127	3172	21615
128	3186	21516
129	3198	21405
130	3215	21330
131	3230	21245
132	3246	21164
133	3269	21129
134	3286	21055
135	3302	20978
136	3333	20996
137	3354	20951
138	3380	20940
139	3400	20886
140	3419	20830
141	3438	20777
142	3459	20734
143	3480	20692
144	3500	20638
145	3518	20578
146	3534	20511
147	3556	20471
148	3581	20454
149	3614	20483
150	3637	20449
151	3666	20453
152	3688	20417
153	3704	20348
154	3718	20272
155	3733	20198
156	3748	20125
157	3767	20079
158	3798	20093
159	3822	20068
160	3840	20013
161	3858	19957
162	3872	19883
163	3893	19849
164	3914	19807
165	3938	19787
166	3989	19897
167	4031	19967
168	4055	19940
169	4082	19934
170	4119	19971
171	4147	19968
172	4206	20108
173	4293	20384
174	4322	20378
175	4343	20336
176	4363	20291
177	4379	20223
178	4398	20173
179	4459	20315
180	4527	20488
181	4561	20500
182	4590	20494
183	4676	20739
184	4715	20772
185	4752	20799
186	4768	20733
187	4785	20667
188	4800	20597
189	4817	20539
190	4865	20606
191	4904	20638
192	5006	20935
193	5059	21019
194	5086	20997
195	5104	20939
196	5152	21003
197	5279	21383
198	5301	21339
199	5341	21367
200	5402	21474
201	5450	21530
202	5518	21665
203	5556	21682
204	5587	21666
205	5623	21675
206	5684	21776
207	5738	21851
208	5768	21830
209	5794	21799
210	5826	21788
211	5863	21795
212	5895	21781
213	5914	21723
214	5932	21659
215	5946	21584
216	5967	21533
217	5982	21458
218	5999	21393
219	6020	21345
220	6039	21288
221	6059	21235
222	6088	21213
223	6113	21179
224	6142	21157
225	6165	21115
226	6186	21065
227	6204	21007
228	6223	20954
229	6241	20894
230	6259	20837
231	6280	20789
232	6304	20753
233	6327	20714
234	6356	20692
235	6376	20641
236	6393	20582
237	6411	20526
238	6425	20460
239	6442	20402
240	6461	20350
241	6482	20303
242	6506	20268
