BattingTeam,BowlingTeam,Venue,Overs,current_score,wickets_left,current_run_rate,required_run_rate,target
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",15.2,111,6,7.239130434782608,5.571428571428571,137
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",11.4,80,9,6.857142857142857,7.2,140
Gujarat Titans,Rajasthan Royals,"Eden Gardens, Kolkata",11.5,108,7,9.126760563380282,9.918367346938776,189
Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",15.6,97,6,6.0625,6.75,124
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,5.2,46,9,8.625,8.113636363636363,165
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,15.2,97,3,6.326086956521739,21.0,195
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,7.3,37,9,4.933333333333334,8.32,141
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,13.3,86,5,6.37037037037037,16.307692307692307,192
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,11.7,86,8,7.068493150684931,5.48936170212766,129
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,13.6,85,5,6.071428571428571,10.166666666666666,146
Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,11.1,85,7,7.611940298507463,4.754716981132075,127
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,6.1,38,9,6.162162162162162,8.674698795180722,158
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,6.1,55,8,8.91891891891892,10.19277108433735,196
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,8.6,36,5,4.0,9.727272727272728,143
Chennai Super Kings,Delhi Capitals,Arun Jaitley Stadium,7.5,80,8,10.212765957446807,5.589041095890411,148
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,13.5,119,7,8.602409638554217,8.594594594594595,172
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,14.3,94,4,6.482758620689655,12.909090909090908,165
Delhi Capitals,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",15.3,125,9,8.064516129032258,8.0,161
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,7.3,72,9,9.6,6.0,147
Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,9.4,78,8,8.068965517241379,7.838709677419355,159
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",10.5,89,8,8.215384615384615,11.563636363636364,195
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,11.5,104,9,8.788732394366198,9.918367346938776,185
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,11.2,81,7,7.147058823529412,14.884615384615383,210
Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",6.5,49,10,7.170731707317073,6.227848101265823,131
Chennai Super Kings,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,6.6,58,7,8.285714285714286,10.76923076923077,198
Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",14.4,98,7,6.681818181818182,11.4375,159
Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,16.3,101,4,6.121212121212121,16.571428571428573,159
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,9.3,63,7,6.631578947368421,7.904761904761905,146
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",10.1,58,7,5.704918032786885,9.254237288135592,149
Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",15.6,108,6,6.75,5.75,131
Mumbai Indians,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",15.6,124,6,7.75,8.75,159
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",6.2,55,10,8.68421052631579,11.048780487804878,206
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,15.4,104,2,6.638297872340425,9.461538461538462,145
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,12.1,96,9,7.890410958904109,3.4468085106382977,123
Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,6.3,66,9,10.153846153846152,6.592592592592593,155
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,6.6,58,9,8.285714285714286,8.076923076923077,163
Mumbai Indians,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",14.4,121,8,8.25,7.125,159
Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,5.5,33,7,5.6571428571428575,7.552941176470588,140
Lucknow Super Giants,Royal Challengers Bangalore,"Eden Gardens, Kolkata",7.6,77,8,9.625,10.916666666666666,208
Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",5.2,31,9,5.8125,10.636363636363637,187
